DATE,Market_Liquidity_Index,NIFTY50_Liquidity_Index_Raw,NIFTY50_Liquidity_Index_30D,NIFTY50_Index
2023-08-17,0.921334097242268,0.9194918435439923,0.8031598674888506,0.6649400098246083
2023-08-18,1.057252067812002,0.9631798426530784,0.8048961307113736,0.6965334369558881
2023-08-21,0.9054691140395688,0.9360774759107656,0.8146943301757937,0.6769340809263189
2023-08-22,0.9986310378396416,1.105650502818986,0.8181402660772551,0.799562564223948
2023-08-23,1.1622965872427795,1.0025174975964706,0.8182086791553648,0.7249808678365348
2023-08-24,1.1253483668496609,0.6690026249565931,0.8104887772047442,0.48379614798621373
2023-08-25,0.9757039813349894,1.037590601328357,0.8188203794047627,0.7503443445261943
2023-08-28,0.9790065419737682,0.9691682932138752,0.8228325857019584,0.7008640467407261
2023-08-29,1.1409355886330366,1.1331530928794982,0.8330109801824087,0.8194513458737703
2023-08-30,1.2052955006520685,0.9634144086055509,0.8333477172218039,0.6967030657436112
2023-08-31,1.5177448129912696,0.8772908904904347,0.8304791702255343,0.6344219553850119
2023-09-01,1.2573986285276224,0.723802457521765,0.8332752815581127,0.5234252120829948
2023-09-04,1.36677443610857,1.0046880709082804,0.8408993854047037,0.7265505403131464
2023-09-05,1.4016339108861775,1.121551812022912,0.8462089599458663,0.8110617599726885
2023-09-06,1.2886014424364047,0.9012482087598543,0.842317629057307,0.6517469371749967
2023-09-07,1.2546457731465428,0.7795200810570806,0.8348117980869575,0.5637179861854592
2023-09-08,1.357028672527698,0.9227976235335975,0.8474321356925957,0.6673306187182052
2023-09-11,1.322534766826167,0.9092327645945779,0.8466674609227254,0.6575210510754776
2023-09-12,1.3749505903914945,0.7662088088870491,0.845086253523364,0.5540918024300888
2023-09-13,1.249747406887861,0.8796062254801601,0.8386563882528082,0.6360963137620056
2023-09-14,1.2163796824049664,0.9735769495907857,0.8524802871994521,0.7040522120683025
2023-09-15,1.5849683505945673,1.1032639035920113,0.8691335180081237,0.7978366703788048
2023-09-18,1.2177498478997122,1.1049916373646334,0.8717405569387146,0.7990860988754335
2023-09-20,1.1992892266599595,0.8477545494481746,0.8655136125921163,0.6130624457376773
2023-09-21,1.099640105490717,0.9245181410340755,0.8620636603215733,0.6685748286932082
2023-09-22,1.1012601124546295,0.9047179154577063,0.8657608492936315,0.654256091358318
2023-09-25,1.086122626773476,0.9107372305737953,0.8642374062112966,0.6586090211646367
2023-09-26,1.009075988700714,1.105290604757033,0.8716462413023759,0.7993023002286432
2023-09-27,1.0958051193206413,0.7814389534172427,0.8747698364838228,0.5651056385229726
2023-09-28,1.27709615549929,0.5090812877988398,0.9250188099932392,0.36814738367419686
2023-09-29,1.0714190455511736,0.7937526983522596,0.9208275051535149,0.5740104501703596
2023-10-03,1.1427892722308104,0.8831770754405113,0.9181607462464293,0.6386786107387428
2023-10-04,1.1551938933983272,0.9597546744454135,0.9189499861975842,0.6940564912410927
2023-10-05,1.0216470708452814,1.0554249170174823,0.9172758000042008,0.7632414138507411
2023-10-06,1.0092660717407034,1.042500160873345,0.9186085554467632,0.7538947431458235
2023-10-09,0.9608134443734324,0.9706584702422587,0.9286637502896187,0.7019416836277208
2023-10-10,0.9980865226123355,0.857108267352438,0.9226476724904216,0.619826683309579
2023-10-11,1.2060847309564455,1.0799037389653403,0.9263388540154703,0.7809435264043091
2023-10-12,1.1525083963784528,1.1098821815882354,0.9255631569724282,0.8026227463692881
2023-10-13,1.0866592263517203,0.8189623353461957,0.920748087863783,0.5922410591617493
2023-10-16,1.11321975515077,1.0421281100466002,0.9262426618489885,0.7536256907533221
2023-10-17,1.1824606809755374,1.092142729026014,0.9385206708991302,0.7897942782933314
2023-10-18,1.2185374014089572,0.7638202623576301,0.9304917439474418,0.5523645003730995
2023-10-19,1.0375073107847324,0.8105856718371671,0.9201262059412503,0.586183388552598
2023-10-20,1.0602065435566992,1.0902067168519545,0.9264248228776536,0.7883942311226269
2023-10-23,1.007144749854172,0.37483064395384996,0.9129351749742126,0.27106264598562757
2023-10-25,0.9754589726168452,0.46854694234673067,0.8977934856013171,0.3388345537101212
2023-10-26,1.015593234943695,0.6991235728118539,0.8907898458752262,0.5055784220797037
2023-10-27,0.9986491237641054,0.8407008582384295,0.893272914186939,0.6079614961912083
2023-10-30,0.9153696996772008,0.6240354771344767,0.8847538892420829,0.45127769127062445
2023-10-31,0.9857109422323336,0.7593561512576055,0.8776131959643101,0.5491362323905716
